score,Q-values,losses
9.0,0.11091422951883739,
13.0,0.1467465987572303,
11.0,0.1342279775576158,1.023667812347412
11.0,0.5271782902154055,0.29611410200595856
14.0,0.785194286278316,0.05642772718731846
13.0,0.870853107709151,0.018486266096050922
14.0,0.9011285901069641,0.009001534166080611
15.0,0.8462471882502238,0.004828531698634227
13.0,1.1905304560294518,0.005429291739486731
15.0,0.8602397004763286,0.0036100238872071107
10.0,2.1651374816894533,0.4844996675848961
14.0,1.8799452100481306,0.13602639894400323
12.0,1.6753012041250865,0.13895270911355814
11.0,1.7975199872797185,0.06612262028184804
16.0,1.7987573742866516,0.07023005443625152
16.0,1.631179615855217,0.07242882158607244
10.0,1.9462457180023194,0.07341697625815868
10.0,2.0722569942474367,0.08081206716597081
20.0,1.618070524930954,0.07954369066283107
11.0,1.54891160401431,0.06800607287070969
12.0,1.545371303955714,0.4782153920580943
18.0,2.224697404437595,0.2905555001149575
10.0,2.6969738006591797,0.23607673197984697
12.0,2.5690702001253762,0.1692337328568101
10.0,2.5713330507278442,0.150387616828084
16.0,1.8646410703659058,0.15628477046266198
14.0,2.4475105660302297,0.19287761726549693
21.0,2.6466276418595087,0.15445524525074733
19.0,2.459334285635697,0.14187302283550562
15.0,2.438497241338094,0.17660794307788213
9.0,3.444140831629435,0.5669048693444994
14.0,2.7479896545410156,0.24949195768151963
17.0,2.7741895703708424,0.29147928208112717
11.0,2.895675550807606,0.24025436084378848
28.0,3.02166576896395,0.21020781115761825
16.0,2.7593160271644592,0.19396128901280463
13.0,2.796482434639564,0.22157832664939073
18.0,3.363393704096476,0.1808907902903027
18.0,3.1599520444869995,0.20074908269776237
23.0,2.9419020466182544,0.16891833994051683
16.0,4.210059776902199,0.46580813731998205
58.0,3.4547651512869475,0.2109367388204254
9.0,5.875005616082086,0.3756997932990392
33.0,4.140820040847316,0.43754524466666306
28.0,3.336239354951041,0.4036258816985147
32.0,4.860295876860619,0.2775594110134989
12.0,3.8379692236582437,0.21002983627840877
9.0,5.301376130845812,0.33394040498468613
10.0,4.424368047714234,0.4610216304659843
8.0,4.753547430038452,0.4430030379444361
13.0,5.0757281963641825,1.0160391686054377
22.0,4.430980097163808,0.5043432966551997
16.0,4.047116696834564,0.4869902580976486
11.0,4.878186225891113,0.6571192815899849
10.0,4.405785179138183,0.623831981420517
9.0,5.412442525227864,0.3010622354017364
120.0,4.868172148863475,0.5465785151347518
9.0,5.193781746758355,0.700963895354006
12.0,3.9488055308659873,0.5206016389032205
14.0,3.690222910472325,0.5831115203244346
13.0,4.485306446368877,0.884858125104354
16.0,4.808596342802048,0.7656777715310454
13.0,5.648728700784536,0.5046244257917771
186.0,5.574951510275564,0.5107512971366285
201.0,5.733937773538466,0.37744901076292814
307.0,5.3684151848286685,0.3114200651172415
246.0,5.42113131430091,0.24735770769023557
42.0,5.119729462124052,0.22813596434536434
196.0,5.679108614824256,0.27365114668156115
149.0,5.387224360600414,0.1962395733309872
57.0,5.208290794439483,0.36859819358378126
195.0,6.125434134556697,0.25896249775034497
192.0,6.375620573759079,0.22293418950478858
107.0,6.267958645508668,0.2108086792525844
61.0,6.499246816166112,0.2410582612406035
