score,Q-values,losses
10.0,0.015515077114105224,
39.0,0.1368340492630616,0.35211405114215966
22.0,0.45613536509600555,0.02246804512105882
24.0,0.6784513865907987,0.005172782519366592
21.0,0.6283040557588849,0.002988307199086107
22.0,0.4973625134338032,0.0021472358705729925
13.0,0.33462406121767485,0.003069532775463393
14.0,0.7482945791312626,0.00232387102109247
13.0,0.42468573038394636,0.0023788262713843812
9.0,0.40972406334347194,0.002762005651473171
12.0,1.0320935398340225,0.3992371968924999
14.0,0.973667825971331,0.1325781446482454
18.0,0.9776756697230868,0.0524344955984917
16.0,0.9130948781967163,0.04269021563231945
11.0,1.3382639993320813,0.03836671669374813
11.0,0.9364911642941561,0.05253188777714968
15.0,1.2426671187082927,0.052554547786712646
11.0,1.202479600906372,0.04654333672740243
12.0,0.9067679246266683,0.05644307658076286
20.0,0.8885357439517975,0.045930101349949834
9.0,1.6707673337724473,0.5129115684992738
14.0,1.9104709795543127,0.3036967952336584
11.0,1.526797424663197,0.14033984596079047
13.0,1.3771881873791034,0.13233704685878295
12.0,1.5219381252924602,0.12402805561820666
15.0,2.0151264508565268,0.13975672895709673
15.0,0.9787893454233806,0.13266972129543622
18.0,1.4528823561138577,0.13684969374703038
19.0,1.2894390507748252,0.11492710722316253
12.0,1.5217378338177998,0.1500950896491607
13.0,1.8327784354870136,0.5760476566278018
36.0,2.0494879020584955,0.2642011059085942
12.0,2.2160786986351013,0.21911518027385077
28.0,1.90529431615557,0.1946735052791025
26.0,2.699203582910391,0.19020267024349707
18.0,1.808904488881429,0.21371213232891428
17.0,2.5047680490157185,0.2585683434325106
14.0,2.1140611342021396,0.16652141085692815
19.0,1.8251711569334332,0.18852701243993483
66.0,2.1806807951493696,0.1479013045741753
40.0,2.7823773860931396,0.32631987663917245
12.0,2.71650230884552,0.17117578877756992
72.0,2.531931459903717,0.25184957928852075
62.0,2.7378898359114126,0.12040431702870034
23.0,2.8070220947265625,0.19394632214275392
19.0,2.2037707128022848,0.16911228961850466
79.0,2.803592561166498,0.1591683740998748
12.0,2.15518852074941,0.11659975862130523
30.0,3.1465229829152426,0.1557675523683429
35.0,2.8507481711251397,0.19375135722969258
15.0,2.7017234484354655,0.587339153389136
19.0,2.7786950563129627,0.3915230712216151
162.0,3.6840704017215304,0.21934267341009814
