rewards,Q-values,loss
10.0,0.07354470938444138,
17.0,0.07791989866425009,
16.0,0.23539249878376722,0.24383079666982999
37.0,0.5139720343254708,0.015764624111643817
16.0,0.626640573143959,0.0008208757262764266
15.0,0.6924446026484171,0.0006032112937342997
13.0,0.6310496146862323,0.0007089341368275479
15.0,0.553617286682129,0.00041077984424191526
15.0,0.643188230196635,0.0007109904458047822
15.0,0.38465522925059,0.000624715684777281
18.0,0.45665570100148517,0.0006999133474892005
8.0,0.4334554523229599,0.0008814966495265253
20.0,0.6443451106548309,0.0008521318770362996
14.0,0.4329584666660854,0.0008665687273605727
13.0,0.6358876870228694,0.001296753444386503
26.0,0.5359028761203473,0.0010652594282873906
9.0,0.6573714680141873,0.000890919825501947
20.0,0.28873767852783205,0.0009704938263894291
14.0,0.3406555141721453,0.000751464394852519
26.0,0.6311416488427383,0.0009681359459556496
17.0,0.6196623479618746,0.0008856422534924658
9.0,0.9414251777860854,0.0008926659583165827
18.0,0.7233562734391954,0.0006683650281047449
11.0,0.5197268290953203,0.0006784252129198813
11.0,0.5515182126652111,0.0006620665067616342
12.0,0.892447809378306,0.0011106817401014268
15.0,0.7709636926651001,0.0008893831768849243
13.0,0.5538412882731512,0.0006937080000240642
14.0,0.5960320489747184,0.0012845271391727562
11.0,0.5203552354465831,0.0012239265647208827
19.0,0.8720865877051103,0.0009260521849347768
12.0,0.7858578066031138,0.0009049543332366738
10.0,0.9640892386436463,0.0009586263477103785
10.0,0.727327311038971,0.0008538447174942121
15.0,0.5326577504475911,0.0012022678701517483
10.0,0.7105567574501037,0.0010357802006183193
12.0,0.4038739502429962,0.0010622497926912426
23.0,0.5985913328502489,0.0012385307623923798
28.0,0.6753106415271759,0.0007256580081177942
11.0,0.7826478806408969,0.0013627243408171291
11.0,0.737614555792375,0.0013412904174236412
12.0,0.5868673324584961,0.0009119392634602264
11.0,0.8736489035866477,0.0010333306484178386
12.0,0.5762661993503571,0.0011245068308198825
12.0,0.7014973064263662,0.0009545485130123174
14.0,0.5016886762210301,0.0011558026349770703
27.0,0.5673051454402782,0.0010555439382894998
10.0,0.5990562677383423,0.0010290240548783912
11.0,0.6189031275835905,0.0009048360701523383
16.0,0.7322404608130455,0.0008490670261380728
9.0,0.5239909092585245,0.0008717129142799725
10.0,0.8159824013710022,0.0011218939122045412
28.0,0.6783404733453479,0.0014210878746650582
23.0,0.29589538470558496,0.0007821409697340721
10.0,0.8187487721443176,0.0004702558653661981
9.0,0.5473725001017252,0.0007996533644877167
13.0,0.8303578266730676,0.0008619464866709537
17.0,0.5639226787230548,0.0010100914001026575
12.0,0.3924696048100789,0.0007950694889586885
18.0,0.4466825591193305,0.0008443614432407129
11.0,0.7762478156523271,0.000715067874724892
20.0,0.575812828540802,0.0007966199060319923
12.0,0.6888952553272247,0.0007596150705163988
12.0,0.8808538516362509,0.0008614507605670951
12.0,0.8126269181569418,0.0009713366550082961
11.0,0.4400864839553833,0.0009996141254139895
11.0,0.8540039495988325,0.0006025935859228907
8.0,0.8950307667255402,0.0008221840944315773
10.0,0.3514350771903992,0.0008786630118265748
8.0,0.8934282660484314,0.0009191530443786178
13.0,0.8158114506648138,0.000794544296625715
16.0,0.5963838696479797,0.0008832717649056576
9.0,0.5130094819598727,0.0008215982234105468
12.0,0.674588531255722,0.000771739915459572
11.0,0.5209547172893177,0.0006883215061283078
11.0,0.9824506911364469,0.000848195598915812
11.0,0.9783126332543113,0.000623215007098307
14.0,0.763220454965319,0.0009366094891447574
37.0,0.7260087438531824,0.0007962668700005255
24.0,0.5364925712347031,0.0008545855719906589
15.0,0.7939357995986939,0.0007698110023435826
10.0,0.8119296073913574,0.0006987340268096887
17.0,0.6159620846019072,0.000771138073212248
16.0,0.7642229199409485,0.0006382529004440585
10.0,0.8706324934959412,0.0009160619942122139
15.0,0.7884841759999593,0.0009591618222960581
11.0,0.8851241631941362,0.00045998738443648273
26.0,0.5404411233388461,0.0009337745353919812
8.0,0.8705708086490631,0.0007995655196282314
16.0,0.5099554732441902,0.0007367438256551395
10.0,0.9624111592769623,0.000783957532257773
11.0,0.668052922595631,0.0006732615875080228
9.0,0.641877810160319,0.0006288876837869692
10.0,0.58079754114151,0.000781013976666145
15.0,0.542459503809611,0.0006884537656636287
8.0,0.7373579740524292,0.0011032280963263474
13.0,0.6325928889788114,0.001135457781716608
16.0,0.8106698095798492,0.0009550360246066703
16.0,0.5064556151628494,0.0008323878137161955
13.0,0.8181966451498178,0.000716322182247845
12.0,1.1822465459505718,0.16379553964361548
15.0,1.5836698770523072,0.03885036762803793
21.0,0.9153266350428263,0.020463107292362975
25.0,1.031294689178467,0.014557486400008202
9.0,1.5513998799853854,0.021448198291990492
15.0,1.3805436372756958,0.017552490749706825
10.0,0.783574640750885,0.015571257332339883
15.0,1.0221089045206706,0.015386946157862742
20.0,1.3554052591323853,0.016342269233427943
11.0,1.169905272397128,0.010989474386654118
23.0,1.173800141915031,0.01259952903036838
10.0,1.46349276304245,0.012901889765635133
12.0,1.204942097266515,0.00771883424022235
25.0,1.1254093313217164,0.013020298518240452
12.0,0.9586925109227499,0.012920739284406105
9.0,1.3690297603607178,0.014422451546933088
12.0,0.856696238120397,0.015906498961461086
18.0,0.9473799731996324,0.01266806029404203
12.0,1.3818911810715993,0.014892210330193242
11.0,1.1992333260449497,0.01042479321106591
27.0,1.3544433337670785,0.009984866345163297
14.0,1.107455951826913,0.011926538510514157
11.0,1.5827248313210227,0.008361034709113565
12.0,1.195841411749522,0.007896885411658635
16.0,0.750828355550766,0.0126916402077768
9.0,1.6299422979354858,0.014522262228031954
34.0,1.0463117536376505,0.013420783222981673
8.0,1.679186373949051,0.013326048094313592
15.0,1.1122233629226685,0.013020926822597782
13.0,1.2601428490418654,0.011969489690202933
12.0,1.2432849407196045,0.01036839324903364
28.0,1.3799331145627158,0.01000181122799404
17.0,0.9809756769853479,0.011274041888742325
12.0,0.9132493734359741,0.010229781561065465
10.0,1.1057857990264892,0.012378513789735734
10.0,1.2468470573425292,0.009002963989041745
11.0,1.248400791124864,0.008685637625272979
11.0,1.4681681828065352,0.009584072680974548
21.0,1.2380103497278123,0.008641826088673301
14.0,0.9186053957257952,0.008105189423076808
11.0,1.1715886376120828,0.008834908695214173
12.0,0.841813842455546,0.009774134843610227
30.0,1.3244887550671895,0.0113543994356102
30.0,1.3799040953318278,0.01175810288793097
14.0,1.3533631988934107,0.00940494569866652
11.0,1.284959543835033,0.007899367229335687
48.0,1.0036024029056232,0.010249286113927761
