rewards,Q-values,loss
13.0,0.0,
16.0,0.0,
14.0,0.0,1.000945042480122
14.0,0.0,0.6999628458704267
29.0,0.0,0.24646550455483898
67.0,0.015092737639128273,0.008984353528844554
11.0,0.09860800613056529,0.002129683810794218
17.0,0.0,0.002500337363659021
27.0,0.0,0.0014124465265518262
16.0,0.0,0.000854035328302416
18.0,0.0,0.0010868919392426808
26.0,0.0,0.0005007479328644247
12.0,0.0,0.000946547413453421
16.0,0.0,0.0010073696712424862
23.0,0.041676749353823456,0.0006600717562200177
34.0,0.02757545779733097,0.0006112662000198136
13.0,0.07257665120638333,0.0002226511216856754
12.0,0.0,0.0004905299914147084
26.0,0.07319854085262005,0.00029845605352490494
11.0,0.0,0.0002431089510950683
35.0,0.08577534982136317,0.00027532427609133135
17.0,0.0,0.00043088355211212356
20.0,0.0,0.0002044643171757343
15.0,0.0,0.00020626637609287476
33.0,0.029009894891218704,0.0002375961637219668
46.0,0.04288484480070031,0.00024094342291431056
28.0,0.035493122679846625,0.00035869745235166714
29.0,0.0,0.00031280972300386375
22.0,0.043178254907781426,0.0002546851808967238
10.0,0.20507370233535765,0.00015886147084529512
30.0,0.03174044688542684,0.000346780554051899
20.0,0.0,0.0003171499374730047
39.0,0.10228322408138177,0.0002151277737702446
49.0,0.03858809811728341,0.0002817181657705152
34.0,0.027943972279043758,0.0002411532309719512
12.0,0.0,0.000283974511451864
38.0,0.10047977692202519,0.00021378634521265907
19.0,0.05192528272929944,0.00021115736691219928
21.0,0.09057702053160895,0.0002581905137049034
22.0,0.09155862168832259,0.00017531882870323236
40.0,0.09853985905647278,0.00027696671659214187
22.0,0.12962646105072714,0.0002250905082209184
19.0,0.0,0.00023908688231849258
23.0,0.1755548041799794,0.00017297743207840856
14.0,0.06783191221100944,0.000143406237059805
18.0,0.15872014231152004,0.00013407121898328315
12.0,0.07906569540500641,0.00027833381439753185
21.0,0.09725822721208845,0.0001944560061972533
29.0,0.034275589318111026,0.00019157201276012246
25.0,0.03842096328735352,0.00021821600152179598
14.0,0.21861214297158377,0.00018221547335477744
12.0,0.08877257506052653,0.0001684814527228203
13.0,0.0,0.00023483289428091107
21.0,0.10277514798300606,0.0001813608458698062
16.0,0.0,0.00014329395662571187
45.0,0.10756788121329414,0.0001990226111956872
10.0,0.0,0.0002039105056610424
50.0,0.11736881017684936,0.00014737164685357129
17.0,0.11855325979344986,0.00015275562926784486
66.0,0.08495739734534061,0.00020597380656302752
16.0,0.06168923154473305,0.00019060991189689958
12.0,0.09280029932657878,0.00025243028024609276
14.0,0.29523826922689167,0.000172074206212918
9.0,0.10607603523466322,0.00021173264233059145
9.0,0.12513531578911674,0.00024003638261799805
10.0,0.31844322681427,0.0001310782834480051
17.0,0.05705302953720093,0.0002114788315820453
32.0,0.029691090807318687,0.0002687107432848279
12.0,0.0,0.0002835038336949462
17.0,0.30427122116088867,0.00024028752202010604
16.0,0.267881341278553,0.0002237570226952812
14.0,0.1357236887727465,0.00018703926980379038
10.0,0.21368875503540039,0.00030412590531341265
9.0,0.12117230892181396,0.00028516448219306767
29.0,0.034507011545115505,0.0002642166373020857
14.0,0.1532801389694214,0.0001619773813997329
12.0,0.17183311780293783,0.00033798655870972044
22.0,0.08571987531401894,0.00021661021607790397
21.0,0.1435478443191165,0.00024103347199603116
14.0,0.1380982824734279,0.00016480186552923572
19.0,0.1765114947369224,0.00023736043179891758
12.0,0.0795559287071228,0.0002810835703712655
33.0,0.14496436444195834,0.00021399282901036327
14.0,0.07806580407278878,0.00026350609706631597
12.0,0.18998443086942038,0.0003105701343883993
17.0,0.11229788205202888,0.00030584854453884284
14.0,0.06752529314586095,0.0003920908295965221
28.0,0.07456810985292707,0.0002660353994932458
21.0,0.14487735998062862,0.00027905214422692853
16.0,0.05918431654572487,0.00028468803475334425
14.0,0.2948195891720908,0.0002784207899821922
19.0,0.049766358576322854,0.00023623717501514445
15.0,0.19183019797007242,0.00036840817895911947
21.0,0.13870652800514585,0.00024268715987134436
19.0,0.04950219706485146,0.0003563921736234701
12.0,0.1767726937929789,0.00033950999204535037
21.0,0.18826710326331003,0.0002794427190175546
22.0,0.08625805648890408,0.00020119745898806616
26.0,0.24454397421616775,0.00019325816118418096
16.0,0.17839931324124336,0.00027634732168735354
18.0,0.16960452662573922,0.00023685216668430561
12.0,0.16134653985500336,0.0001955837942659855
10.0,0.3148707628250122,0.00034714796638581904
20.0,0.047704091668128966,0.0001969790399016347
12.0,0.08262358605861664,0.0003048834729876641
17.0,0.11393815629622515,0.00032862920167698413
17.0,0.2427094017758089,0.00022890817019609078
16.0,0.3156234137713909,0.000196604267443945
13.0,0.1568679901269766,0.0003297192267312382
29.0,0.13506629960290317,0.00029346396143504035
14.0,0.06856604559080941,0.00019715689424109378
23.0,0.08480243320050447,0.00023079425338200173
24.0,0.2226998582482338,0.00028664610651200445
11.0,0.08682205460288307,0.0003160732052161951
13.0,0.07489529481300941,0.00040082770843023004
13.0,0.4086583898617671,0.00038628821494057775
12.0,0.24110729495684305,0.00043531939718377544
11.0,0.25725562464107166,0.00035541688637088305
21.0,0.23817141283126103,0.00026341876322736165
23.0,0.08917629459629887,0.00029587718682191536
14.0,0.2053812529359545,0.00017408548488414714
25.0,0.16666006326675414,0.00027801769858342595
10.0,0.0,0.00021027738293923903
11.0,0.2831258177757263,0.0002764530925725756
11.0,0.09093178402293813,0.00028677651938447855
15.0,0.14408010641733807,0.0003029376724346851
18.0,0.37167313363817,0.0002272476025003319
13.0,0.24138819254361665,0.0002743106989118342
33.0,0.24050445990128952,0.00020970793213398957
18.0,0.21846136781904432,0.00027547574548710446
27.0,0.2606151722095631,0.0002731316193670931
18.0,0.1588054597377777,0.00025378264783487085
13.0,0.24068144651559684,0.00018789306173298077
15.0,0.18999161720275878,0.000232060761967053
17.0,0.1675140156465418,0.00020333616318085287
31.0,0.21635001705538842,0.00019968121822814516
15.0,0.13700448274612426,0.0003590717416955158
11.0,0.18448284539309415,0.00028577134997414595
15.0,0.4039404233296712,0.0002975421300410138
11.0,0.3886923139745539,0.00019978512335166505
13.0,0.23713147181731004,0.00021532674201388055
9.0,0.5877248975965712,0.0002822424665080487
17.0,0.11606196445577285,0.0003491999591728125
14.0,0.13736753378595626,0.00037111837186135484
12.0,0.23641937474409738,0.0001542022243180933
10.0,0.3865325391292572,0.00034673757691052744
14.0,0.5990006455353328,0.00019332555660054953
11.0,0.5645790967074308,0.00022438076087961565
14.0,0.2927576644080026,0.00021787074469362518
13.0,0.0796283483505249,0.00021668558586567926
14.0,0.1501305869647435,0.00028954603632363226
15.0,0.27249075571695963,0.00018224983141408303
14.0,0.2140524217060634,0.000204588493423736
12.0,0.2394346942504247,0.00024468870894149103
14.0,0.06733066695077079,0.0002650593295194475
28.0,0.3940050112349646,0.00017830654776064745
11.0,0.363135121085427,0.0002382490519349548
24.0,0.3313716525832812,0.00016195510587143266
30.0,0.2576462666193644,0.00018544411347344673
13.0,0.31398388972649205,0.00022668663642924422
20.0,0.18974103331565856,0.00023535810887551634
74.0,0.2090182868210045,0.00017892013412976567
9.0,0.5985678964191012,0.00022113796876510605
13.0,0.33455315920022816,0.00028854586539987044
35.0,0.2498507159096854,0.0002463300760220071
19.0,0.09941781194586503,0.0002566648407465484
13.0,0.22677195072174072,0.00025054300819577364
16.0,0.4214969240128994,0.0002842461196905788
15.0,0.3504629691441854,0.00030161552616239835
10.0,0.6104680716991424,0.0003320002630061936
16.0,0.2602040134370327,0.0001822629142225196
18.0,0.2861831618679894,0.0002408789259789046
19.0,0.20308438414021543,0.00025713164474214673
15.0,0.31832520961761473,0.00021933782651710013
12.0,0.16026195387045541,0.0001837563504523132
10.0,0.47594249844551084,0.00021354531018005218
24.0,0.1665871540705363,0.000237515992845753
